cover,title,author,"avg rating",rating,shelves,"date read","date added",""
"","Autobiography of a Spiritually Incorrect Mystic",Osho,4.29,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","The Blue Bedspread","Jha, Raj Kamal",3.10,"1 of 5 stars 2 of 5 stars [ 3 of 5 stars ] 4 of 5 stars 5 of 5 stars","read [edit]","not set [edit]","Sep 11, 2012","edit view »"
"","Five Point Someone: What Not to Do at IIT","Bhagat, Chetan",3.43,"1 of 5 stars 2 of 5 stars [ 3 of 5 stars ] 4 of 5 stars 5 of 5 stars","read [edit]","not set [edit]","Jan 13, 2013","edit view »"
"",Delhi,"Singh, Khushwant",3.82,"1 of 5 stars 2 of 5 stars [ 3 of 5 stars ] 4 of 5 stars 5 of 5 stars","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","The Company of Women","Singh, Khushwant",3.26,"1 of 5 stars [ 2 of 5 stars ] 3 of 5 stars 4 of 5 stars 5 of 5 stars","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","Train to Pakistan","Singh, Khushwant",3.93,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"",1984,"Orwell, George",4.19,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)","Pirsig, Robert M.",3.77,"1 of 5 stars 2 of 5 stars 3 of 5 stars [ 4 of 5 stars ] 5 of 5 stars","read , favourites [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","Lajja: Shame","Nasrin, Taslima",3.53,"1 of 5 stars 2 of 5 stars 3 of 5 stars [ 4 of 5 stars ] 5 of 5 stars","read [edit]","not set [edit]","Sep 13, 2012","edit view »"
"","The Polyester Prince: The Rise of Dhirubhai Ambani","McDonald, Hamish",3.88,"1 of 5 stars 2 of 5 stars 3 of 5 stars [ 4 of 5 stars ] 5 of 5 stars","read , favourites [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","The Godfather (The Godfather, #1)","Puzo, Mario",4.37,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
"","For the Term of His Natural Life","Clarke, Marcus",3.95,"1 of 5 stars 2 of 5 stars 3 of 5 stars 4 of 5 stars [ 5 of 5 stars ]","read [edit]","not set [edit]","Sep 09, 2012","edit view »"
